"user_id","total_purchases","lifetime_value","first_tip_amount","second_tip_amount","expansion_revenue"
"@harshujod-j6j",1,200.00,200.00,0.00,0.00
"@AiAwaaz",1,200.00,200.00,0.00,0.00
"@tejaspradhan5845",1,200.00,200.00,0.00,0.00
"@akashkadam3402",1,200.00,200.00,0.00,0.00
"@AKRavi18",1,200.00,200.00,0.00,0.00
"@Sweety_Plays",1,200.00,200.00,0.00,0.00
"@Siddanth-Reddy",1,200.00,200.00,0.00,0.00
"@Xgamerislive07",1,200.00,200.00,0.00,0.00
"@vrajpatel4793",2,200.00,100.00,100.00,100.00
"@rahultungariya2450",2,200.00,100.00,100.00,100.00
"@voldfinn490",2,200.00,100.00,100.00,100.00
"@PrabhuPrabhu-vg3ek",1,200.00,200.00,0.00,0.00
"@daddyhunbro12",1,200.00,200.00,0.00,0.00
"@NXTxNILESH",1,200.00,200.00,0.00,0.00
"@nxgt_gfx",1,200.00,200.00,0.00,0.00
"@YASHRAJYADAV-l5r",2,200.00,100.00,100.00,100.00
"@NIKHIl_____________SHARMA0302",1,200.00,200.00,0.00,0.00
"@DJAlok_9",1,200.00,200.00,0.00,0.00
"@muhammadmubashir3549",1,200.00,200.00,0.00,0.00
"@explorewithsamgg",2,200.00,100.00,100.00,100.00
"@flyyt45",1,200.00,200.00,0.00,0.00
"@lolzf123",2,200.00,100.00,100.00,100.00
"@khusiytlive",1,200.00,200.00,0.00,0.00
"@GamewithYashLive1704",1,200.00,200.00,0.00,0.00
"@khanbhai-pi9qr",1,200.00,200.00,0.00,0.00
"@Kenbom954",2,200.00,100.00,100.00,100.00
"@unknown-allrounder-cc",1,179.00,179.00,0.00,0.00
"@gouravsharma6034",1,179.00,179.00,0.00,0.00
"@Mohitghanghas10",1,179.00,179.00,0.00,0.00
"@sahilveee",1,179.00,179.00,0.00,0.00
"@pratikgawai7884",1,179.00,179.00,0.00,0.00
"@deeppancholi6536",1,179.00,179.00,0.00,0.00
"@kushagrajoshi315",1,179.00,179.00,0.00,0.00
"@AshvinT45",1,179.00,179.00,0.00,0.00
"@wazahatgaming2075",1,179.00,179.00,0.00,0.00
"@sonuu.unfiltered",1,179.00,179.00,0.00,0.00
"@rlgaming5155",1,179.00,179.00,0.00,0.00
"@davedevam8581",1,179.00,179.00,0.00,0.00
"@Maxwrist_Manthan",1,179.00,179.00,0.00,0.00
"@kashyapavani",1,179.00,179.00,0.00,0.00
"@2Frozen2",1,179.00,179.00,0.00,0.00
"@jaspreetchadha5350",1,179.00,179.00,0.00,0.00
"@Kartoons4u-1",1,179.00,179.00,0.00,0.00
"@iNsaneGaminG_22",1,179.00,179.00,0.00,0.00
"@divyanshusingh3265",1,179.00,179.00,0.00,0.00
"@giridharrabha5104",1,179.00,179.00,0.00,0.00
"@RUINERgamingYT",1,166.17,166.17,0.00,0.00
"@TenNgawang-ks5ck",1,166.17,166.17,0.00,0.00
"@ICG.HARJOT",1,166.17,166.17,0.00,0.00
"@ABHISHEK-tw4pe",1,164.45,164.45,0.00,0.00
"@Dhruv001b",1,164.45,164.45,0.00,0.00
"@Harpreetkamboz",1,164.45,164.45,0.00,0.00
"@superayush13",5,145.00,29.00,29.00,116.00
"@SauravSharma_haryana",2,140.00,40.00,100.00,100.00
"@gsheaven007",2,140.00,100.00,40.00,40.00
"@hawkgaming3094",2,140.00,100.00,40.00,40.00
"@prathmeshshinde635",2,140.00,100.00,40.00,40.00
"@priyanshusingh1739",2,140.00,40.00,100.00,100.00
"@raghavjoshi7426",2,140.00,40.00,100.00,100.00
"@vasooli_yt",2,140.00,40.00,100.00,100.00
"@SanskarTrivedi-cv1nb",2,140.00,100.00,40.00,40.00
"@DivyanshuPareek08",2,140.00,40.00,100.00,100.00
"@vinayvinay9756",2,140.00,100.00,40.00,40.00
"@ByRummy46",2,140.00,100.00,40.00,40.00
"@akshay___1598",2,140.00,100.00,40.00,40.00
"@Shashank-k1p",2,140.00,100.00,40.00,40.00
"@theXmarzi",2,140.00,40.00,100.00,100.00
"@ayushtate1",3,120.00,40.00,40.00,80.00
"@a7xfaiz",2,120.00,20.00,100.00,100.00
"@adityalanjewar5537",1,110.00,110.00,0.00,0.00
"@Glitchinthematrixo",1,110.00,110.00,0.00,0.00
"@TAGxJONNY-LOSTINPAST",1,100.00,100.00,0.00,0.00
"@AayushIRxDarkLord",1,100.00,100.00,0.00,0.00
"@Accur8_gaming",1,100.00,100.00,0.00,0.00
"@aditya61710",1,100.00,100.00,0.00,0.00
"@AdityaRaj-cw3qj",1,100.00,100.00,0.00,0.00
"@Amarmishra99999",1,100.00,100.00,0.00,0.00
"@Aungkit_0098",1,100.00,100.00,0.00,0.00
"@avdheshkumaryadav4486",1,100.00,100.00,0.00,0.00
"@bhavincolorhunt5260",1,100.00,100.00,0.00,0.00
"@Bishnoii09",1,100.00,100.00,0.00,0.00
"@Boruto-xyx",1,100.00,100.00,0.00,0.00
"@chocomocoji",1,100.00,100.00,0.00,0.00
"@craftyplayss",1,100.00,100.00,0.00,0.00
"@crazy100kdream",1,100.00,100.00,0.00,0.00
"@crimez2177",1,100.00,100.00,0.00,0.00
"@CYRUSGAMINGYt18",1,100.00,100.00,0.00,0.00
"@DestrO9090",1,100.00,100.00,0.00,0.00
"@devilofficial416",1,100.00,100.00,0.00,0.00
"@dinesh_aka_danny",1,100.00,100.00,0.00,0.00
"@DokisLive1",1,100.00,100.00,0.00,0.00
"@FAUJIisLIVEYT",1,100.00,100.00,0.00,0.00
"@fauztagx",1,100.00,100.00,0.00,0.00
"@FurkanKhan.06",1,100.00,100.00,0.00,0.00
"@Hemantrao001",1,100.00,100.00,0.00,0.00
"@hotshot8579",1,100.00,100.00,0.00,0.00
"@Iamamanrandhawa",1,100.00,100.00,0.00,0.00
"@jeetvayeda94",1,100.00,100.00,0.00,0.00
"@jigneshporiya3876",1,100.00,100.00,0.00,0.00
"@Kamesh_Kumar05",1,100.00,100.00,0.00,0.00
"@kanishqagarwal",1,100.00,100.00,0.00,0.00
"@kaushaljha8590",1,100.00,100.00,0.00,0.00
"@krisshh.05",1,100.00,100.00,0.00,0.00
"@kryptotom7295",1,100.00,100.00,0.00,0.00
"@LafdeIsLive",1,100.00,100.00,0.00,0.00
"@LEMON-0-11",1,100.00,100.00,0.00,0.00
"@mayurchavan7",1,100.00,100.00,0.00,0.00
"@MercyisLiive",1,100.00,100.00,0.00,0.00
"@MohitSharma1107-p1z",1,100.00,100.00,0.00,0.00
"@MRPARKER-7",1,100.00,100.00,0.00,0.00
"@muradashraf03",1,100.00,100.00,0.00,0.00
"@MXSTitan",1,100.00,100.00,0.00,0.00
"@niKsDeN69",1,100.00,100.00,0.00,0.00
"@NitroCANon",1,100.00,100.00,0.00,0.00
"@OBECEOshivdeepsinh",1,100.00,100.00,0.00,0.00
"@OnESidEGamiNgg",1,100.00,100.00,0.00,0.00
"@OPSPIDERxYT0",1,100.00,100.00,0.00,0.00
"@prashantpatel7231",1,100.00,100.00,0.00,0.00
"@PratapSingh-pu9vs",1,100.00,100.00,0.00,0.00
"@Rahulkushwaha4133",1,100.00,100.00,0.00,0.00
"@rajdave2353",1,100.00,100.00,0.00,0.00
"@rajesh_0228",1,100.00,100.00,0.00,0.00
"@randheerkumar9081",1,100.00,100.00,0.00,0.00
"@RIKVLOGS436",1,100.00,100.00,0.00,0.00
"@RITESHGAMiNG9420",1,100.00,100.00,0.00,0.00
"@rohannagar3041",1,100.00,100.00,0.00,0.00
"@RohitBhatt-gy7jg",1,100.00,100.00,0.00,0.00
"@RyanFerns2401",1,100.00,100.00,0.00,0.00
"@saiyamjain5989",1,100.00,100.00,0.00,0.00
"@sakshamtiwari9961",1,100.00,100.00,0.00,0.00
"@SanyamJain0",1,100.00,100.00,0.00,0.00
"@saroshx1",1,100.00,100.00,0.00,0.00
"@shashankshukla1305",1,100.00,100.00,0.00,0.00
"@shazkazi8793",1,100.00,100.00,0.00,0.00
"@ShivamP382",1,100.00,100.00,0.00,0.00
"@shreejagdale1655",1,100.00,100.00,0.00,0.00
"@shubhamshinde5524",1,100.00,100.00,0.00,0.00
"@sinui1d",1,100.00,100.00,0.00,0.00
"@slyvesterbaptista7103",1,100.00,100.00,0.00,0.00
"@someshrawool6079",1,100.00,100.00,0.00,0.00
"@sourabhray5903",1,100.00,100.00,0.00,0.00
"@14KoFreeHoKya",1,100.00,100.00,0.00,0.00
"@TahirZaidi-n7u",1,100.00,100.00,0.00,0.00
"@tanmayjain2651",1,100.00,100.00,0.00,0.00
"@TDXONIK123",1,100.00,100.00,0.00,0.00
"@Top0903-R",1,100.00,100.00,0.00,0.00
"@tulsipatel4311",1,100.00,100.00,0.00,0.00
"@Vagus_Gaming",1,100.00,100.00,0.00,0.00
"@vaibhavkamble7009",1,100.00,100.00,0.00,0.00
"@vanditsharma6886",1,100.00,100.00,0.00,0.00
"@VedantPawar-y3c",1,100.00,100.00,0.00,0.00
"@Veer60fps",1,100.00,100.00,0.00,0.00
"@vikramsolanki1246",1,100.00,100.00,0.00,0.00
"@vividayush",1,100.00,100.00,0.00,0.00
"@Yashvantha09",1,100.00,100.00,0.00,0.00
"@yusufhaq628",1,100.00,100.00,0.00,0.00
"@waleedaltaf-p4y",3,85.00,50.00,10.00,35.00
"@arpitvashisht",2,80.00,40.00,40.00,40.00
"@NamkeenChor-hu-mai",2,80.00,40.00,40.00,40.00
"@aniketbhardwaj9345",2,80.00,40.00,40.00,40.00
"@RohitSingh-jn8kw",2,80.00,40.00,40.00,40.00
"@raaghav71",2,80.00,40.00,40.00,40.00
"@Omkar.kajrekar_214",2,80.00,40.00,40.00,40.00
"@desolatedxgaming",2,80.00,40.00,40.00,40.00
"@vastavjangeral2484",2,80.00,40.00,40.00,40.00
"@niteshraorane9024",2,80.00,40.00,40.00,40.00
"@dinkarsingh4724",2,60.00,20.00,40.00,40.00
"@nikgaming4728",2,60.00,20.00,40.00,40.00
"@maharaj2373",2,60.00,20.00,40.00,40.00
"@tapanranipa",1,50.00,50.00,0.00,0.00
"@IQOOTGBADSHAH",1,50.00,50.00,0.00,0.00
"@rahulshaha2002",1,50.00,50.00,0.00,0.00
"@TJohn0P",1,50.00,50.00,0.00,0.00
"@surajghode9977",1,50.00,50.00,0.00,0.00
"@SixxtySeven_67",1,44.00,44.00,0.00,0.00
"@mohithunter8941",1,40.00,40.00,0.00,0.00
"@erenyeagergod",1,40.00,40.00,0.00,0.00
"@enjoislive",1,40.00,40.00,0.00,0.00
"@MutualMindset",1,40.00,40.00,0.00,0.00
"@muzammilbagwan2091",1,40.00,40.00,0.00,0.00
"@MXG_GHOST6773",1,40.00,40.00,0.00,0.00
"@xTHALA",1,40.00,40.00,0.00,0.00
"@DipuAgarwal-s5l",1,40.00,40.00,0.00,0.00
"@naveen5627",1,40.00,40.00,0.00,0.00
"@nayanpatel9226",1,40.00,40.00,0.00,0.00
"@nazimudding6651",1,40.00,40.00,0.00,0.00
"@nikhilgusain956",1,40.00,40.00,0.00,0.00
"@NikhilT-y7i",1,40.00,40.00,0.00,0.00
"@yamrajjjyt",1,40.00,40.00,0.00,0.00
"@TwfxNightmare",1,40.00,40.00,0.00,0.00
"@diliptripathi6649",1,40.00,40.00,0.00,0.00
"@jaybarskar6930",1,40.00,40.00,0.00,0.00
"@mananajmera9402",1,40.00,40.00,0.00,0.00
"@manavjain9187",1,40.00,40.00,0.00,0.00
"@manthanmodi6351",1,40.00,40.00,0.00,0.00
"@MaxiTox25",1,40.00,40.00,0.00,0.00
"@Flirtyyy",1,40.00,40.00,0.00,0.00
"@Ahetasum",1,40.00,40.00,0.00,0.00
"@mbtgaming51",1,40.00,40.00,0.00,0.00
"@mddilshadjamal",1,40.00,40.00,0.00,0.00
"@mdsohelahmed92",1,40.00,40.00,0.00,0.00
"@Thund3r_Tee",1,40.00,40.00,0.00,0.00
"@FLAMExOP-ju2xp",1,40.00,40.00,0.00,0.00
"@mh42shekharlive",1,40.00,40.00,0.00,0.00
"@FIFABGMIPUBG",1,40.00,40.00,0.00,0.00
"@MinatoTheOG-27",1,40.00,40.00,0.00,0.00
"@mitshah6589",1,40.00,40.00,0.00,0.00
"@fegarplayzZzyt",1,40.00,40.00,0.00,0.00
"@MODISARKAR1691",1,40.00,40.00,0.00,0.00
"@Faker0524",1,40.00,40.00,0.00,0.00
"@Shu_kurenai6",1,40.00,40.00,0.00,0.00
"@YugPatel-11",1,40.00,40.00,0.00,0.00
"@ashwarykatoch377",1,40.00,40.00,0.00,0.00
"@aryan0250",1,40.00,40.00,0.00,0.00
"@SiddheshDarge-n2g",1,40.00,40.00,0.00,0.00
"@Anoni2407",1,40.00,40.00,0.00,0.00
"@Animeadda426",1,40.00,40.00,0.00,0.00
"@abhinavsharma591",1,40.00,40.00,0.00,0.00
"@aaryan0076",1,40.00,40.00,0.00,0.00
"@SMST-gv2zt",1,40.00,40.00,0.00,0.00
"@snax18paglu",1,40.00,40.00,0.00,0.00
"@sohammore3881",1,40.00,40.00,0.00,0.00
"@Anikesh0906",1,40.00,40.00,0.00,0.00
"@soulloading...",1,40.00,40.00,0.00,0.00
"@sparshpokharkar",1,40.00,40.00,0.00,0.00
"@SpeedPlayzz-l1u",1,40.00,40.00,0.00,0.00
"@Starboyalways",1,40.00,40.00,0.00,0.00
"@angadeep2008",1,40.00,40.00,0.00,0.00
"@stubby658",1,40.00,40.00,0.00,0.00
"@sudhanshusrivastava5751",1,40.00,40.00,0.00,0.00
"@sudhanva07",1,40.00,40.00,0.00,0.00
"@SunilKumar-ju7dk",1,40.00,40.00,0.00,0.00
"@SuoperMambax",1,40.00,40.00,0.00,0.00
"@super-magic-bw4ul",1,40.00,40.00,0.00,0.00
"@amolshelke0017",1,40.00,40.00,0.00,0.00
"@suryavikasn",1,40.00,40.00,0.00,0.00
"@swatikamble6328",1,40.00,40.00,0.00,0.00
"@Alexopgaming-jn879",1,40.00,40.00,0.00,0.00
"@AaryaAPatel-b9g",1,40.00,40.00,0.00,0.00
"@aamirshaikh4494",1,40.00,40.00,0.00,0.00
"@xcalibur7741",1,40.00,40.00,0.00,0.00
"@havocx_rage",1,40.00,40.00,0.00,0.00
"@TanmayMayekar-u4f",1,40.00,40.00,0.00,0.00
"@Tanmayyy6969",1,40.00,40.00,0.00,0.00
"@GoogleAcc-e3h",1,40.00,40.00,0.00,0.00
"@Illuminati_5678",1,40.00,40.00,0.00,0.00
"@In.D.00-Real",1,40.00,40.00,0.00,0.00
"@IND_Satishgaming",1,40.00,40.00,0.00,0.00
"@IQUITXAHMED",1,40.00,40.00,0.00,0.00
"@jackdapast9162",1,40.00,40.00,0.00,0.00
"@jackrajput5375",1,40.00,40.00,0.00,0.00
"@JAINAMSOLANKI07",1,40.00,40.00,0.00,0.00
"@GlitchGamerz07",1,40.00,40.00,0.00,0.00
"@Gill982",1,40.00,40.00,0.00,0.00
"@GGayushman",1,40.00,40.00,0.00,0.00
"@Maheshshinde-adh",1,40.00,40.00,0.00,0.00
"@gemofesports",1,40.00,40.00,0.00,0.00
"@AaloParatha-27",1,40.00,40.00,0.00,0.00
"@jonathan9-j",1,40.00,40.00,0.00,0.00
"@akshayandranjana",1,40.00,40.00,0.00,0.00
"@gauravkamble397",1,40.00,40.00,0.00,0.00
"@garvitchoudhary-o6d",1,40.00,40.00,0.00,0.00
"@kaushalsuthar4658",1,40.00,40.00,0.00,0.00
"@GANAisLive-G",1,40.00,40.00,0.00,0.00
"@kingmodel9960",1,40.00,40.00,0.00,0.00
"@kmvegeta2183",1,40.00,40.00,0.00,0.00
"@krishnasinha5428",1,40.00,40.00,0.00,0.00
"@Tharun_playz",1,40.00,40.00,0.00,0.00
"@krSna_33",1,40.00,40.00,0.00,0.00
"@tharunkumar6188",1,40.00,40.00,0.00,0.00
"@KumarAditya-n8c",1,40.00,40.00,0.00,0.00
"@FrtxStrange",1,40.00,40.00,0.00,0.00
"@AjithGU-x8x",1,40.00,40.00,0.00,0.00
"@LaykaJODYT",1,40.00,40.00,0.00,0.00
"@TheRuinZyro",1,40.00,40.00,0.00,0.00
"@frosyt",1,40.00,40.00,0.00,0.00
"@LIGHT444-yas12",1,40.00,40.00,0.00,0.00
"@Lil_dp",1,40.00,40.00,0.00,0.00
"@Fog_is_live",1,40.00,40.00,0.00,0.00
"@Lucifer_110w",1,40.00,40.00,0.00,0.00
"@Dibash_Dutta",1,40.00,40.00,0.00,0.00
"@UltimateE-PlayYT",1,40.00,40.00,0.00,0.00
"@dhavalpatel6393",1,40.00,40.00,0.00,0.00
"@adityaop8964",1,40.00,40.00,0.00,0.00
"@AdityaAgrawal23",1,40.00,40.00,0.00,0.00
"@OTHITTLLERR",1,40.00,40.00,0.00,0.00
"@DEEPAK-gl4ez",1,40.00,40.00,0.00,0.00
"@Deadly6614",1,40.00,40.00,0.00,0.00
"@PAVAN_420_YT",1,40.00,40.00,0.00,0.00
"@darkSonicOp",1,40.00,40.00,0.00,0.00
"@pham.....op.......yt......9187",1,40.00,40.00,0.00,0.00
"@pjstudio3007",1,40.00,40.00,0.00,0.00
"@PoonamRastogi-o7j",1,40.00,40.00,0.00,0.00
"@CUBIxALPHA",1,40.00,40.00,0.00,0.00
"@Prabhcaliberlive",1,40.00,40.00,0.00,0.00
"@Crazyy_boiiiiii",1,40.00,40.00,0.00,0.00
"@pranaydilipjoshi7015",1,40.00,40.00,0.00,0.00
"@chikookumar2093",1,40.00,40.00,0.00,0.00
"@prasadkendre3403",1,40.00,40.00,0.00,0.00
"@YasharthSinghParihar-kj3mu",1,40.00,40.00,0.00,0.00
"@cherryx45",1,40.00,40.00,0.00,0.00
"@ChandanYadav-m8k2f",1,40.00,40.00,0.00,0.00
"@princeleon4563",1,40.00,40.00,0.00,0.00
"@Prishu-g2b",1,40.00,40.00,0.00,0.00
"@Chalmaarnoob69",1,40.00,40.00,0.00,0.00
"@pulsebladeyt",1,40.00,40.00,0.00,0.00
"@QYXRAGAMING",1,40.00,40.00,0.00,0.00
"@RAAVISHORT",1,40.00,40.00,0.00,0.00
"@radheRadhe17199",1,40.00,40.00,0.00,0.00
"@CA.Bhatiaji",1,40.00,40.00,0.00,0.00
"@Rahul-t1f5y",1,40.00,40.00,0.00,0.00
"@YashrajKedare-h1n",1,40.00,40.00,0.00,0.00
"@btwitsharis_9195",1,40.00,40.00,0.00,0.00
"@RaiDenOP16",1,40.00,40.00,0.00,0.00
"@VanguardRush",1,40.00,40.00,0.00,0.00
"@rajeevmalvish3909",1,40.00,40.00,0.00,0.00
"@VanshChauhan-d1u",1,40.00,40.00,0.00,0.00
"@ram-sr4vv",1,40.00,40.00,0.00,0.00
"@AdilMehar-d3p",1,40.00,40.00,0.00,0.00
"@Bolbabyboliqsoul",1,40.00,40.00,0.00,0.00
"@raoneorwott",1,40.00,40.00,0.00,0.00
"@retoxiyt9325",1,40.00,40.00,0.00,0.00
"@ridebite6452",1,40.00,40.00,0.00,0.00
"@bmplays3580",1,40.00,40.00,0.00,0.00
"@rishi8287",1,40.00,40.00,0.00,0.00
"@7starAditya6969",1,40.00,40.00,0.00,0.00
"@riyazdiwan2323",1,40.00,40.00,0.00,0.00
"@BishwajitBehera-wd8qh",1,40.00,40.00,0.00,0.00
"@RNTXMohnish",1,40.00,40.00,0.00,0.00
"@vedantraut1711",1,40.00,40.00,0.00,0.00
"@rohanrajguru3640",1,40.00,40.00,0.00,0.00
"@ZeroRespawn-b6u",1,40.00,40.00,0.00,0.00
"@rohitrainaa",1,40.00,40.00,0.00,0.00
"@rohitshaw1726",1,40.00,40.00,0.00,0.00
"@rudra6799",1,40.00,40.00,0.00,0.00
"@bhavyavyas6564",1,40.00,40.00,0.00,0.00
"@bhargav5849",1,40.00,40.00,0.00,0.00
"@rupaksaha2499",1,40.00,40.00,0.00,0.00
"@RushikeshLokhande-k9s4m",1,40.00,40.00,0.00,0.00
"@S.C.P_682",1,40.00,40.00,0.00,0.00
"@saadshaikh1522",1,40.00,40.00,0.00,0.00
"@BGMIZONE777",1,40.00,40.00,0.00,0.00
"@Bgmisprays",1,40.00,40.00,0.00,0.00
"@BE4UGAMING",1,40.00,40.00,0.00,0.00
"@bamannn632",1,40.00,40.00,0.00,0.00
"@vibhudubey8538",1,40.00,40.00,0.00,0.00
"@VickyTheWeberYT",1,40.00,40.00,0.00,0.00
"@SalmanAhmed-mv4pg",1,40.00,40.00,0.00,0.00
"@salty3728",1,40.00,40.00,0.00,0.00
"@samarth7791",1,40.00,40.00,0.00,0.00
"@samirVlOG28",1,40.00,40.00,0.00,0.00
"@Samitechhere",1,40.00,40.00,0.00,0.00
"@achiever_gyan",1,40.00,40.00,0.00,0.00
"@AyushSingh-l6w2m",1,40.00,40.00,0.00,0.00
"@VikashKumar-lv2qx",1,40.00,40.00,0.00,0.00
"@sarthakjadhav5531",1,40.00,40.00,0.00,0.00
"@AWADGAMERR",1,40.00,40.00,0.00,0.00
"@SCARFACEGAMINGLIVE-10",1,40.00,40.00,0.00,0.00
"@SeemaYadav-os8ig",1,40.00,40.00,0.00,0.00
"@aviop7",1,40.00,40.00,0.00,0.00
"@atulvagare4451",1,40.00,40.00,0.00,0.00
"@Sharath-t21",1,40.00,40.00,0.00,0.00
"@yt_arpan75",1,40.00,40.00,0.00,0.00
"@shashankstalin1854",1,40.00,40.00,0.00,0.00
"@vinaykings6645",1,40.00,40.00,0.00,0.00
"@shimbhusharma567",1,40.00,40.00,0.00,0.00
"@shiv52__0",1,40.00,40.00,0.00,0.00
"@atharvachavan459",1,40.00,40.00,0.00,0.00
"@shivunaik4489",1,40.00,40.00,0.00,0.00
"@shreyansh00007gn",1,40.00,40.00,0.00,0.00
"@shu.494",1,40.00,40.00,0.00,0.00
"@StoicRumi",1,39.99,39.99,0.00,0.00
"@rudhrapatel7882",1,30.00,30.00,0.00,0.00
"@badshahgaming5492",1,29.00,29.00,0.00,0.00
"@focusclips0072",1,29.00,29.00,0.00,0.00
"@mafiagodgaming6797",1,29.00,29.00,0.00,0.00
"@Piyushh_playzz",1,29.00,29.00,0.00,0.00
"@Kevingaming-78",1,29.00,29.00,0.00,0.00
"@SEKUWAGAMING",1,29.00,29.00,0.00,0.00
"@Harsh_Liive",1,29.00,29.00,0.00,0.00
"@Samexr-08",1,29.00,29.00,0.00,0.00
"@shivamdixit8701",1,29.00,29.00,0.00,0.00
"@Ishdeepsinghkhurana27",1,29.00,29.00,0.00,0.00
"@TanujVats-mx3gr",1,29.00,29.00,0.00,0.00
"@AbhishekMahapatra-m2y",1,20.00,20.00,0.00,0.00
"@PramodVasava-p9s",1,20.00,20.00,0.00,0.00
"@OBAIDLEGEND",1,20.00,20.00,0.00,0.00
"@smitgaming7120",1,20.00,20.00,0.00,0.00
"@sohamTambe00",1,20.00,20.00,0.00,0.00
"@attiqbhatt6779",1,20.00,20.00,0.00,0.00
"@Stormiii24",1,20.00,20.00,0.00,0.00
"@RAVAN_GAMING_7x",1,20.00,20.00,0.00,0.00
"@ShivamBaghel-sw5pf",1,20.00,20.00,0.00,0.00
"@godmanasyt2305",1,20.00,20.00,0.00,0.00
"@NSC896",1,20.00,20.00,0.00,0.00
"@AMANJAAT-26",1,20.00,20.00,0.00,0.00
"@mo.faizalsarvaiya3750",1,20.00,20.00,0.00,0.00
